ModuleName,AlwaysConstructs,AssignLHSPortNum,AssignLHSWidth,AssignRHSPortNum,AssignRHSWidth,AssignStmts,BLOCKINGASSIGN,CASECONDITIONNUM,CASECONDITIONWIDTH,CASEITEMCONDITIONNUM,CASEITEMCONDITIOWIDTH,CASEITEMNUM,CONDITIONALELSE,CONDITIONALIF,CONDITIONALTHEN,FORBLOCK,FORTIMES,INDEXMEMRORY,INOUT,INOUTWIDTH,INPUT,INPUTWIDTH,MIN,ModuleInsts,NonBlockingAssign,NonBlockingLeftPortNum,NonBlockingRightPortNum,OUTPUT,OUTPUTWIDTH,PARAMETERNUM,PARAMETERVALUE,QUESTIONCOLON,QUESTIONCOLONELSE,QUESTIONCOLONIF,QUESTIONCOLONTHEN,REDAND,REDAOR,REDXOR,REG,REGWIDTH,WIRENUM,WIREWIDTH,LUT,FF,IO,BUFG
encoder8_3,1,0,0,1,4,1,9,0,0,0,0,0,8,8,8,0,0,0,0,0,8,8,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,4,0,0,4,0,12,0
fir,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,19,19,12,1,16,0,0,0,0,0,0,0,0,0,19,168,0,0,229,145,25,1
fre_ctrl,1,1,1,1,1,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,2,0,0,0,2,2,5,1
FSM,3,0,0,0,0,0,5,2,3,8,8,10,4,4,4,0,0,0,0,0,5,5,0,0,10,10,10,1,3,4,0,0,0,0,0,0,0,0,3,7,0,0,2,2,8,1
full_add2,0,2,2,9,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,3,2,2,0,0,0,0,1,0,5,0
full_add3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0
full_add4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,5,0
full_add5,1,1,1,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,4,0,1,1,1,0,5,0
full_adder,0,2,2,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,1,0,5,0
funct,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,10,0,0,2,2,0,1,32,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0,0,0
gpio_mod,1,2,64,3,96,2,0,0,0,0,0,0,5,6,6,0,0,0,0,0,7,100,0,0,7,7,3,2,64,0,0,0,0,0,0,2,0,0,3,96,0,0,69,97,136,1
half_add2,0,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,0
half_add3,1,0,0,0,0,0,8,2,2,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0
half_adder,0,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,0
im,0,1,1,1,39,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,33,0,0,0,0,0,1,32,2,128,0,0,0,0,0,0,0,1,32,0,0,0,0,32,0
JK_FF,1,0,0,0,0,0,0,2,2,0,0,5,2,2,2,0,0,0,0,0,5,5,0,0,7,7,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,6,1
johnson,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,2,0,0,3,4,0,1,4,0,0,0,0,0,0,0,0,0,1,4,0,0,1,4,6,1
latch_1,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,3,1
latch_16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,1,16,0,0,0,16,33,1
latch_2,0,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,1,0,0,3,3,3,3,0,0,0,0,0,0,0,1,0,5,0
latch_8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,9,0,0,1,1,1,1,8,0,0,0,0,0,0,0,0,0,1,8,0,0,0,8,17,1
longframe1,2,0,0,0,0,0,4,0,0,0,0,0,2,2,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,8,0,0,0,0,0,0,0,2,8,0,0,9,8,2,1
longframe2,3,0,0,0,0,0,5,0,0,0,0,0,2,2,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,8,0,0,0,0,0,0,0,3,8,0,0,9,9,2,1
lookup,1,0,0,0,0,0,18,1,4,0,0,17,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,8,0,0,2,4,9,1
MAC,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,6,34,0,0,2,2,1,1,16,0,0,0,0,0,0,0,0,0,3,32,1,16,72,16,34,1
mAlu,3,0,0,0,0,0,18,3,10,0,0,13,3,3,3,0,0,0,0,0,7,45,0,0,0,0,0,2,9,4,8,0,0,0,0,0,0,0,4,24,0,0,48,0,46,0
mCntrl,1,0,0,0,0,0,65,1,11,11,11,12,5,6,6,0,0,0,0,0,3,8,0,0,0,0,0,14,17,23,0,0,0,0,0,0,0,0,15,17,3,8,37,26,25,1
mem_mod,1,1,32,1,32,1,1,0,0,0,0,0,2,4,4,0,0,0,0,0,5,67,0,0,3,4,3,1,32,0,0,0,0,0,0,0,0,0,4,71,0,0,104,33,83,1
mpc,1,0,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,2,36,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,8,49,0,0,8,0,27,0
mR4000,6,5,68,5,5,4,12,1,1,0,0,3,4,7,7,0,0,0,0,0,3,66,0,3,0,0,0,5,194,1,64,0,0,0,0,1,1,0,6,322,22,279,#N/A,#N/A,#N/A,#N/A
mRegister,3,0,0,0,0,0,16,3,6,0,0,12,1,2,2,0,0,0,0,0,7,10,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,6,6,0,0,6,4,12,1
mult,0,1,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,1,16,1,8,0,0,0,0,0,0,0,0,0,0,0,71,0,32,0
mult_for,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,26212315,0,0,0,2,16,0,0,0,0,0,1,16,1,8,0,0,0,0,0,0,0,2,16,0,0,68,0,32,0
mult_repeat,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,1,16,1,8,0,0,0,0,0,0,0,3,40,0,0,#N/A,#N/A,#N/A,#N/A
mux_case,1,0,0,0,0,0,4,1,2,0,0,4,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0
mux_casez,1,0,0,0,0,0,4,1,4,0,0,4,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,9,0
mux_if,1,0,0,0,0,0,4,0,0,0,0,0,3,3,3,0,0,0,0,0,5,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0
mux2_1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
mux2_1b,1,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0
MUX2_1c,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,4,0
MUX21_2,1,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0
MUX21_2,1,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0
mux4_1,1,0,0,0,0,0,5,1,2,0,0,5,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0
mux4_1c,0,1,1,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,1,1,0,0,0,0,0,0,8,3,0,0,0,0,0,1,0,7,0
mux4_1d,0,1,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,1,1,0,0,3,3,3,3,0,0,0,0,0,0,0,1,0,7,0
n_block,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,#N/A,#N/A,#N/A,#N/A
non_block,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,#N/A,#N/A,#N/A,#N/A
paobiao,3,0,0,0,0,0,0,0,0,0,0,0,9,10,10,0,0,0,0,0,3,3,0,0,21,18,0,6,24,0,0,0,0,0,0,0,0,0,8,24,0,0,22,26,27,1
paral1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,3,1
paral2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,3,1
parity,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0
pipeline,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,17,60,0,0,13,44,27,1
PLL_clk_gen,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,12,27,0,0,5,3
prep2,2,0,0,0,0,0,7,0,0,0,0,0,3,5,5,0,0,0,0,0,7,21,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,3,24,2,9,15,24,29,1
prep3,3,0,0,0,0,0,26,2,11,8,10,11,4,4,4,0,0,0,0,0,3,10,0,0,4,4,3,1,8,8,0,0,0,0,0,0,0,0,4,22,0,0,17,15,18,1
prep3,3,0,0,0,0,0,26,1,8,16,10,11,4,4,4,0,0,0,0,0,3,10,0,0,5,6,2,1,8,8,0,0,0,0,0,0,0,0,4,32,0,0,17,15,18,1
prep4,3,0,0,0,0,0,66,5,11,32,35,51,11,11,11,0,0,0,0,0,3,10,0,0,2,2,2,1,8,16,0,0,0,0,0,16,0,0,3,16,0,0,34,4,18,1
prep5,1,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,5,11,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,1,8,2,16,27,8,19,1
prep6,1,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,3,18,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,1,16,0,0,16,16,34,1
prep7,1,0,0,0,0,0,3,0,0,0,0,0,2,3,3,0,0,0,0,0,5,20,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,1,16,0,0,21,16,36,1
prep8,1,0,0,0,0,0,3,0,0,0,0,0,2,3,3,0,0,0,0,0,5,20,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,1,16,0,0,21,16,36,1
prep9,1,0,0,1,8,1,14,0,0,0,0,0,10,10,10,0,0,0,0,0,5,19,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,2,8,1,16,15,9,28,1
Project_Uart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0
random_32,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,2,2,0,4,5,8,1,32,1,32,0,0,0,0,0,0,2,2,64,0,0,1,64,34,1
reg8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,10,0,0,2,2,1,1,8,0,0,0,0,0,0,0,0,0,1,8,0,0,0,8,18,1
reg8,1,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,3,10,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,1,8,0,0,0,8,18,1
regm,3,2,2,2,33,2,6,0,0,0,0,0,4,5,5,0,0,0,0,0,6,44,0,0,1,2,1,2,32,0,0,0,0,0,0,0,0,0,3,96,0,0,121,48,113,1
regr,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,4,4,0,0,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1
resource2,1,0,0,0,0,0,5,0,0,0,0,0,1,1,1,0,0,0,0,0,5,17,0,0,0,0,0,1,4,1,4,0,0,0,0,0,0,0,3,13,0,0,9,0,22,0
rom,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0
sell,1,0,0,0,0,0,21,1,3,5,5,5,5,11,11,0,0,0,0,0,4,4,0,0,0,0,0,3,3,5,10,0,0,0,0,0,0,0,4,3,0,0,7,5,7,1
serial_pal,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,4,4,0,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,1,4,0,0,0,4,8,1
serial1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,3,1
serial2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,3,1
shifter,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,3,0,0,3,4,1,1,8,0,0,0,0,0,0,0,0,0,1,8,0,0,0,8,11,1
song,4,1,1,1,14,1,80,4,14,64,0,75,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,4,13,0,0,0,0,0,0,1,0,0,7,48,1,1,45,44,15,2
sva_immediate_assert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
sy_d_ff,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,1
